,Age Group,Gender,Education Level,Occupation,Average Screen Time,Device,Screen Activity,App Category,Screen Time Period,Environment,Productivity,Attention Span,Work Strategy,Notification Handling,Usage of Productivity Apps
131,18–24,Male,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, but i did not find them of any help"
132,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
133,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, they are extremely helpful"
134,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, but i did not find them of any help"
135,18–24,Female,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
136,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
137,25–34,Male,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
138,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Background noise/music,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, but i did not find them of any help"
139,18–24,Female,Undergraduate,Student,2–4,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
140,18–24,Female,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, but i did not find them of any help"
141,18–24,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,,Check them briefly and resume my work,"No, i do not use them"
142,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,,Turn off notifications altogether,"No, i do not use them"
143,18–24,Male,Undergraduate,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, they are extremely helpful"
144,18–24,Male,High school or below,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, they are extremely helpful"
145,45 and above,Male,Graduate,Professional,8-10,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Morning (6 AM–12 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
146,18–24,Female,High school or below,Student,6–8,Laptop/PC,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
147,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
148,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
149,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, they are extremely helpful"
150,18–24,Male,Undergraduate,Student,2–4,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, but i did not find them of any help"
151,18–24,Female,Undergraduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"No, i do not use them"
152,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Spend time interacting with the notifications,"Yes, they are extremely helpful"
153,18–24,Female,Undergraduate,Student,More than 10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"Yes, but i did not find them of any help"
154,18–24,Male,Graduate,Professional,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"No, i do not use them"
155,18–24,Male,Graduate,Professional,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Spend time interacting with the notifications,"No, i do not use them"
156,18–24,Male,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
157,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Ignore them until my task is completed,"Yes, but i did not find them of any help"
158,18–24,Female,Undergraduate,Student,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, they are extremely helpful"
159,18–24,Female,Undergraduate,Student,6–8,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,"Use some productivity tool (e.g, timers, blockers)",Check them briefly and resume my work,"Yes, but i did not find them of any help"
160,18–24,Female,High school or below,Student,8-10,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",10–30 minutes,Eliminate all distractions,Ignore them until my task is completed,"No, i do not use them"
161,18–24,Male,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Unproductive, i might not have completed the task and got carried away",More than 1 hour,Eliminate all distractions,Spend time interacting with the notifications,"No, i do not use them"
162,35–44,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, but i did not find them of any help"
163,18–24,Male,Graduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Streaming (e.g., YouTube, Netflix)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,Less than 10 minutes,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
164,18–24,Female,Undergraduate,Student,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,More than 1 hour,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
165,18–24,Female,Undergraduate,Student,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,More than 1 hour,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, they are extremely helpful"
166,18–24,Female,Undergraduate,Student,4–6,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),I can work in any environment,Moderately productive,More than 1 hour,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
167,18–24,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, but i did not find them of any help"
168,18–24,Male,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"No, i do not use them"
169,Below 18,Male,High school or below,Student,4–6,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Take regular breaks,Turn off notifications altogether,"Yes, but i did not find them of any help"
170,25–34,Female,Graduate,Student,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Morning (6 AM–12 PM),I can work in any environment,Moderately productive,30–60 minutes,"Use some productivity tool (e.g, timers, blockers)",Turn off notifications altogether,"Yes, they are extremely helpful"
171,18–24,Female,Graduate,Student,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
172,Below 18,Male,Undergraduate,Student,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"Yes, but i did not find them of any help"
173,18–24,Male,Undergraduate,Professional,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Morning (6 AM–12 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Take regular breaks,Spend time interacting with the notifications,"Yes, they are extremely helpful"
174,18–24,Male,Undergraduate,Professional,2–4,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,"Use some productivity tool (e.g, timers, blockers)",Ignore them until my task is completed,"Yes, they are extremely helpful"
175,18–24,Male,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Check them briefly and resume my work,"Yes, they are extremely helpful"
176,25–34,Male,Graduate,Professional,8-10,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Messaging (e.g., WhatsApp, Messenger)",Evening (6 PM–10 PM),Quite workplace,"Unproductive, i might not have completed the task and got carried away",Less than 10 minutes,Eliminate all distractions,Spend time interacting with the notifications,"Yes, but i did not find them of any help"
177,18–24,Female,High school or below,Professional,More than 10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,Eliminate all distractions,Ignore them until my task is completed,"Yes, they are extremely helpful"
178,25–34,Male,Graduate,Professional,More than 10,Laptop/PC,"Entertainment (gaming, streaming, social media, etc.)",Gaming,Late night (10 PM–6 AM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Eliminate all distractions,Ignore them until my task is completed,"Yes, they are extremely helpful"
179,25–34,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"No, i do not use them"
180,25–34,Male,Graduate,Professional,More than 10,Smartphone,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Late night (10 PM–6 AM),Quite workplace,Moderately productive,30–60 minutes,Take regular breaks,Turn off notifications altogether,"No, i do not use them"
181,25–34,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Streaming (e.g., YouTube, Netflix)",Evening (6 PM–10 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Ignore them until my task is completed,"No, i do not use them"
182,25–34,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,Less than 10 minutes,Eliminate all distractions,Check them briefly and resume my work,"No, i do not use them"
183,18–24,Male,Undergraduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,Moderately productive,10–30 minutes,Take regular breaks,Turn off notifications altogether,"No, i do not use them"
184,25–34,Female,Graduate,Professional,6–8,Smartphone,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Late night (10 PM–6 AM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"Yes, they are extremely helpful"
185,18–24,Male,Undergraduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, i do not use them"
186,18–24,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
187,25–34,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Background noise/music,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Check them briefly and resume my work,"No, i do not use them"
188,18–24,Female,Undergraduate,Student,4–6,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Background noise/music,Moderately productive,10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, but i did not find them of any help"
189,18–24,Female,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,More than 1 hour,Eliminate all distractions,Turn off notifications altogether,"No, i do not use them"
190,18–24,Female,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,10–30 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
191,18–24,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Eliminate all distractions,Turn off notifications altogether,"No, i do not use them"
192,18–24,Female,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Collaborative/team setting,"Extremely productive, i efficiently complete my tasks",30–60 minutes,Eliminate all distractions,Ignore them until my task is completed,"No, i do not use them"
193,18–24,Male,Graduate,Professional,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",30–60 minutes,"None, i prefer to work without any strategies",Turn off notifications altogether,"No, i do not use them"
194,25–34,Female,Graduate,Professional,8-10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
195,25–34,Male,Undergraduate,Student,6–8,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",More than 1 hour,Take regular breaks,Check them briefly and resume my work,"No, i do not use them"
196,25–34,Female,Graduate,Professional,4–6,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,"Extremely productive, i efficiently complete my tasks",10–30 minutes,Take regular breaks,Check them briefly and resume my work,"Yes, but i did not find them of any help"
197,25–34,Male,Graduate,Professional,More than 10,Laptop/PC,Academic/Work-related,"Productivity (e.g., Microsoft Office, Notion)",Afternoon (12 PM–6 PM),Quite workplace,Moderately productive,30–60 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"Yes, but i did not find them of any help"
198,45 and above,Male,Graduate,Professional,8-10,Smartphone,Academic/Work-related,"Messaging (e.g., WhatsApp, Messenger)",Morning (6 AM–12 PM),I can work in any environment,"Extremely productive, i efficiently complete my tasks",Less than 10 minutes,"None, i prefer to work without any strategies",Ignore them until my task is completed,"No, i do not use them"
199,25–34,Male,Graduate,Professional,6–8,Smartphone,"Entertainment (gaming, streaming, social media, etc.)","Social Media (e.g., Facebook, Instagram, LinkedIn, Twitter)",Evening (6 PM–10 PM),Quite workplace,Moderately productive,Less than 10 minutes,Eliminate all distractions,Turn off notifications altogether,"Yes, they are extremely helpful"
